pk;fk_umowy;fk_stanowiska;fk_hurtownia;imie;nazwisko;miejscowosc;ulica;pesel;numer_mieszkania;kod_pocztowy;nip;numer_telefonu;drugie_imie;nazwa_uzytkownika;hashowane_haslo;zatrudnienie
104;118;5;6;Beatus;Sopoński;Rawka;ul. Częstochowska;82090801712;177;62-010;743-41-56-995;+599 366-648-396;Tristan;fyg4zikosigorupyzuwuzulifo14qepybuqadotodasoryg;4A8C6A19AD17487A7C19C9DCE951DB99;1
105;104;10;6;Tezeusz;Wojkszun;Ignacewo;ul. Jaśminowa;87051005734;249;07-410;NULL;+858 513-706-130;Borzysław;sikidumi3uxibit4laguvoqokaj1dew;EA69AE988B3A6844BC456447A5321D40;1
106;107;6;6;światozar;Konakow;Jelenia Góra;ul. Ternicka;79021118494;156;37-400;NULL;893 973 344;Julian;fa4anirutex5ce1;37AD0307E0E4F51F5765D32E0B11093E;1
107;105;2;6;Beniamin;Bartsik;Opole;ul. Kasztelańska;93021811119;229;25-633;NULL;753 140 201;Arnold;3168900866144305224200531620738593;B14160CB6CD5C9AC5307560D2BA8FEB0;1
108;111;9;6;Enoch;Werbowa;Rybnik;ul. Wałowa;81062104851;289;60-348;NULL;199 152 893 486;Uniedrog;s8pajuqujiz8vapy9yfytin;E6165E67E410A2CC40FCDEEA2DFD1546;1
109;119;3;6;Bruno;świrgiel;Poznań;ul. Pielęgniarek;92042504723;51;09-402;324-181-85-31;+111 888-540-521;Edmund;wujynejugamyfojucasehu2e1orex1no;E5E8671B241C910760C18E6E795654BB;1
110;112;4;6;Gotard;Daude;Gołas;ul. Głowackiego Wojciecha Bartosza;84022624552;20;23-320;NULL;887 387 988;Anicet;vevomig5dyvejyka9ajavulyxiz7vekade;7C94B56544629552C92FD69ED429BD94;1
111;113;2;6;Saul;Bajków;Bielsko-Biała;ul. Prądzyńskiego Ignacego;85020706325;130;91-849;NULL;470 789 595 288;Czcisław;z7jezinok5gize6i;4F9B0F737475737DA91CE4F7DB398562;1
112;115;7;6;Gall;Harabuz;Skoroszów;ul. Wólczańska;93101024400;105;61-748;NULL;+807 530871783;Dzierżykraj;gybumipaqapyfuj9vebowiwyfu8er9lo;219B0852F34204F8AFA2A002095EA95F;1
113;114;8;6;Wolimir;Buczewski;Legnica;ul. Rybacka;90042803293;21;16-304;NULL;524 306 247;Stanimir;9yw0zir8vegucigu;8AED1B7FCC6489F3E67D170F0DB58875;1
114;103;6;6;Agatonik;Rurdsztuk;Szczucice;ul. Zeusa;90021321468;88;36-121;NULL;878 334-208-518;Lubosław;zupeqyfos5fupavoduviv5saraxeky4ehoqydaf;F09421FB85B9CCBDBD343EC0ABFF1FFA;1
115;118;3;6;Hipolit;Nevermann;Leszczowate;ul. Wojska Polskiego;94112819962;136;42-530;388-17-73-797;293273825;Przybygniew;h657piji782e1;C61C3834FA3C066FBE39919A24AC32B1;1
116;108;6;6;Mauryn;Kapust;Tchórz;ul. Kablowa;83081910716;131;05-306;NULL;+621 240 813 039;Antoni;8ekat0juxediqytih5;249D6910521C9CA6F3EAA428FAF97D10;1
117;109;6;6;Dobromił;Orużak;Kraków;ul. Brzezińska;94101303401;59;16-424;NULL;259 920-809-739;Ezechiel;0164p30o15b2h23i465y23d9r4n415;E8CF19D35D58B5491D45471EDA1D49ED;1
118;102;11;6;Dersław;Inszo;Sianowo Leśne;ul. Tartaczna;86060624187;108;29-105;NULL;399 845 156 541;Salezy;kela9ijyzuzy5o7ifob;745D8003A61D21D161351B56398115B8;1
119;110;2;6;Herakles;Towalewski;Warszawa;ul. Działkowa;77021225367;210;31-958;NULL;+784 352142381;Leopold;boligagaluzoqisex5pojytol9goh2qiwimyk;87D0C57A32D34242383115049C64CE62;1
120;120;6;6;Lubomir;Olewnik;Gdynia;ul. Nadrzeczna;75080215053;229;62-541;NULL;809 125 006 529;Przedbor;ly1ilu55vumi;B60751F0CB2AF2DFBAFA0B30091843BD;1
