Bazyli;Libus;Warszawa;ul. Źródlana;95010523964;100;66-615;183-26-22-787;+416 431 775 586;Dzierżykraj;f9r6sebom8;820AA8B5568CB5BBACA27CA7D6219B51;1
Budzimir;Spiołek;świerże;ul. Jesienna;97043007169;231;05-320;602-57-91-142;565 205945564;Galezy;foz3racowoderydanygelyqobucikomevi9eqot7jymos;78D1F626D3F47E100DE10A763D2138AE;1
Natan;Wells;Opole;ul. Plebiscytowa;83022613353;23;00-654;421-277-67-30;+496 519 610 375;Zdobysław;mi8ujozenoxehifiqyviciqadisi2agemebyjyzulin1;DB31ADDC156A73A9D12D5A8548EDE7C1;1
Mieczysław;Szawiała;Jasło;ul. Reymonta Władysława;82052324239;296;06-121;231-617-48-31;113 853 473 066;Prochor;zipujuj6fofycame48xyfofynebitefahamuhego;DAE2043013B0945D9EC2162FCA342261;1
Strzeżywoj;Maszner;Grodzisk Mazowiecki;ul. Bonifraterska;94080808964;79;39-230;601-815-72-72;+496 948 796 151;Zygfryd;617u44si913u75t70333622o3ah35uveg576967686m070;ECA1D8A3DD63B648270088E660FCD065;1
Siemirad;Gieroni;Bielsko-Biała;ul. Pielęgniarek;88111102093;288;01-678;907-313-26-28;+837 996498494;Tymoteusz;g0siwotekamubenixuno5ic1docag;AB36BF74278BC6C5F09E7A4A1117AD94;1
Niemir;Sierzań;Warszawa;ul. Rudnickiego Mikołaja;75032221215;103;78-100;165-232-66-10;223 724 332;Bertram;5ibyc3l2rivu;BC4AAA7CB67382018E432374CE9D098B;1
Czechasz;Petkow;Wilkowa Wieś;ul. Jastrzębowskiego Wojciecha Bogumiła;85040310449;224;13-324;341-215-75-63;730 111 531;Jan Kanty;5exukocaxerupiza30zoxahodulyxytoro;AC66C9CBE5922A99D52F5A06960A8DEE;1
Machabeusz;Placuk;Zielona Góra;ul. Żytnia;85071816633;201;85-677;964-14-21-361;404 336 159;Hermes;0oxij5qu7i;BFCF1CD22B19E56C7CB4B786F520C86C;1
Wisław;Marenicz;Ostrołęka;ul. Wesoła;73051812115;40;37-630;231-97-19-627;470 170 965 018;Adolf;37263040g08581496141785045vu72823542101;52F6067D881F719A28431E3128E6F1AF;1
Natan;Tobołowska;Lublin;Pl. 1905 Roku;81100902984;175;20-400;973-999-36-43;600-431-485;Cyprian;gece9u8ewi7epaqafo;D105A6E7DD249E3747A11CED33EA0BBA;1
świeciech;Wałkuski;Krypno Wielkie;ul. Staszica Stanisława;81031500280;130;25-653;499-65-32-413;+364 345 583 274;Jacław;qij4roxuq2tewolopowakeqesuvyt3hohyjugir;A2A2156AD5D037EC32BF131FC20C4E71;1
Berno;Niemow;Górne Maliki;ul. świętego Sebastiana;74041722896;134;78-100;475-899-26-51;+460 958992929;Narcyz;wuxalobedywipydiqurajeqaz8vylidob4noryqac8nibo;4C7D3829DD4C6E666DB56DEDA2959C61;1
Amon;Dawidow;Wrocław;ul. Zamkowa;79012916229;133;10-687;785-173-27-58;793019380;Emil;jax33ovobuxuxyrukemawo4ylamitewyh;48335352BDCD2E818B0E194226455C73;1
Waleriusz;Hohlfeld;Wrocław;ul. Szafrana Tadeusza;79011003023;276;80-175;438-31-32-264;+800 779-324-631;Prudencjusz;puhapefa4anisebakejaxo3ivaq6foz;10E4EF2A9C0D8ADBDBC017077F859187;1
Uniedrog;Predynkiewicz;Giedajty;ul. Madera;94122809830;29;57-150;845-785-13-20;371357854;Częstogniew;4on6towymi5abafu;DB5D7281D9F2D80A438F17C893F41CD1;1
Czechasz;Schurma;Katowice;ul. Wileńska;88071206110;272;09-110;942-634-39-59;822 354 661 902;Egon;65330735598366375699p;24AD8F30820FFC6338F707B1D98A9F5B;1
Uniemysł;Szamowski;Chojęcin;ul. Rychla Jana;79050309629;165;19-104;356-834-62-90;913 135-440-474;Amedeusz;tizujerohuginylyj8me04vogyj;D6C176CA6BC8DF6CF2886B5E20008A55;1
Paweł;Zuzak;Biały Grunt;ul. Długa;96071206610;221;14-200;187-52-36-140;640-748-791;Marcjal;fa08huroqizuvybi6ojo;886CA4AA9E2A4298B63FAF61A85B86EA;1
Agatonik;Grabus;Gdańsk;ul. Brzoskwiniowa;95122123685;252;80-003;869-736-55-38;+191 353565598;Salwator;repoxedy8adetar2w0zevy;D4F9D4C56982EB7D2107125A68152A16;1
Demetriusz;Rakaszewska;Koszarsko;ul. Moniuszki Stanisława;78081013682;33;08-110;951-38-68-381;364787260;Cecylian;limomyzen2copojekek8fonaf5no;B41A7099EE4CEB1BA8352BB517527CD8;1
Tomasz;Perelson;Warszawa;ul. Leszków;86101514282;30;98-240;288-26-24-932;+677 498-606-995;Tyburcjusz;ramikyhyke2ugano6eqihur6nefyt;4F12D26928C5A7CDF706DF02CB54E7C0;1
Renat;Medau;Skupowo;ul. Szczepowa;83033114151;230;43-430;921-154-83-20;454 747486723;Wielisław;majobuhyluda3oxodysohijon63enohe;731B8DE96F0DEF6D7744D043A31D92C2;1
Beatus;Sopoński;Rawka;ul. Częstochowska;82090801712;177;62-010;743-41-56-995;+599 366-648-396;Tristan;fyg4zikosigorupyzuwuzulifo14qepybuqadotodasoryg;4A8C6A19AD17487A7C19C9DCE951DB99;1
Tezeusz;Wojkszun;Ignacewo;ul. Jaśminowa;87051005734;249;07-410;265-14-32-440;+858 513-706-130;Borzysław;sikidumi3uxibit4laguvoqokaj1dew;EA69AE988B3A6844BC456447A5321D40;1
światozar;Konakow;Jelenia Góra;ul. Ternicka;79021118494;156;37-400;273-256-32-58;893 973 344;Julian;fa4anirutex5ce1;37AD0307E0E4F51F5765D32E0B11093E;1
Beniamin;Bartsik;Opole;ul. Kasztelańska;93021811119;229;25-633;135-653-96-23;753 140 201;Arnold;3168900866144305224200531620738593;B14160CB6CD5C9AC5307560D2BA8FEB0;1
Enoch;Werbowa;Rybnik;ul. Wałowa;81062104851;289;60-348;158-294-94-710;199 152 893 486;Uniedrog;s8pajuqujiz8vapy9yfytin;E6165E67E410A2CC40FCDEEA2DFD1546;1
Bruno;świrgiel;Poznań;ul. Pielęgniarek;92042504723;51;09-402;324-181-85-31;+111 888-540-521;Edmund;wujynejugamyfojucasehu2e1orex1no;E5E8671B241C910760C18E6E795654BB;1
Gotard;Daude;Gołas;ul. Głowackiego Wojciecha Bartosza;84022624552;20;23-320;507-28-15-748;887 387 988;Anicet;vevomig5dyvejyka9ajavulyxiz7vekade;7C94B56544629552C92FD69ED429BD94;1
Saul;Bajków;Bielsko-Biała;ul. Prądzyńskiego Ignacego;85020706325;130;91-849;531-74-59-649;470 789 595 288;Czcisław;z7jezinok5gize6i;4F9B0F737475737DA91CE4F7DB398562;1
Gall;Harabuz;Skoroszów;ul. Wólczańska;93101024400;105;61-748;134-429-76-34;+807 530871783;Dzierżykraj;gybumipaqapyfuj9vebowiwyfu8er9lo;219B0852F34204F8AFA2A002095EA95F;1
Wolimir;Buczewski;Legnica;ul. Rybacka;90042803293;21;16-304;284-24-56-523;524 306 247;Stanimir;9yw0zir8vegucigu;8AED1B7FCC6489F3E67D170F0DB58875;1
Agatonik;Rurdsztuk;Szczucice;ul. Zeusa;90021321468;88;36-121;745-354-91-44;878 334-208-518;Lubosław;zupeqyfos5fupavoduviv5saraxeky4ehoqydaf;F09421FB85B9CCBDBD343EC0ABFF1FFA;1
Hipolit;Nevermann;Leszczowate;ul. Wojska Polskiego;94112819962;136;42-530;388-17-73-797;293273825;Przybygniew;h657piji782e1;C61C3834FA3C066FBE39919A24AC32B1;1
Mauryn;Kapust;Tchórz;ul. Kablowa;83081910716;131;05-306;851-359-35-58;+621 240 813 039;Antoni;8ekat0juxediqytih5;249D6910521C9CA6F3EAA428FAF97D10;1
Dobromił;Orużak;Kraków;ul. Brzezińska;94101303401;59;16-424;696-86-85-123;259 920-809-739;Ezechiel;0164p30o15b2h23i465y23d9r4n415;E8CF19D35D58B5491D45471EDA1D49ED;1
Dersław;Inszo;Sianowo Leśne;ul. Tartaczna;86060624187;108;29-105;403-71-17-189;399 845 156 541;Salezy;kela9ijyzuzy5o7ifob;745D8003A61D21D161351B56398115B8;1
Herakles;Towalewski;Warszawa;ul. Działkowa;77021225367;210;31-958;268-47-17-194;+784 352142381;Leopold;boligagaluzoqisex5pojytol9goh2qiwimyk;87D0C57A32D34242383115049C64CE62;1
Lubomir;Olewnik;Gdynia;ul. Nadrzeczna;75080215053;229;62-541;806-132-44-16;809 125 006 529;Przedbor;ly1ilu55vumi;B60751F0CB2AF2DFBAFA0B30091843BD;1
