pk;fk_stanowiska;fk_umowy;fk_hurtownie;imie;nazwisko;miejscowosc;ulica;pesel;numer_mieszkania;kod_pocztowy;nip;numer_telefonu;drugie_imie;nazwa_uzytkownika;hashowane_haslo;zatrudnienie
11;2;13;1;Korneliusz;Ciamarczak;Warszawa;ul. Borkowskich Józefa i Stanisława;96072423197;57;65-140;;855-722-136;Częstogniew;0efoqoloh2ku3irob;9B367B3CC7A9FF15B26552308033B520;true
12;7;15;1;Seweryn;Kłaszkowska;Ostrołęka;ul. Złotej Rybki;97081108750;123;98-300;;746-123-808;Miłowit;1imoz8juku4ydojygilaj;7C3959468CB969E7E368EBC0AC7BCCF5;true
13;8;14;1;Morzysław;Bonzel;Leszno Górne;ul. Strumieńska;05252509442;139;07-405;;672-667-898;Cieszygor;loraryhafodojo7ebydosofy2orybuvolep1p;9A32B8136F7F25ABFFA1A4E49AEB2DF0;true
14;6;3;1;Cyprian;Honczo;Kałużna;ul. Dębowa;81082305773;266;63-400;;540-114-231;Nadmir;2y049ag87yx36u2el42esen266;591A61BB9224DFA06F9DB4B74B7DBF8A;true
15;3;18;1;Jarogniew;Chyba;Krzynka;ul. Skowrońskiego Władysława;93111319640;289;16-130;522-23-38-721;366-718-373;Krzesisław;coguzehunul8x3jixapow2h;3867E150543C859DF616FF14593578DB;true
16;6;8;1;Cecyl;Kożemiaczenko;Suwałki;ul. Szkolna;95122709403;129;11-520;;930-559-477;Sieciech;gyzikevujify4ajys79y;99D1BB16AF3E671F1D1028C3D35147D0;true
17;6;9;1;Borysław;Mastylarz;Radom;ul. Monte Cassino;80030405114;188;21-523;;196-468-774;Floryn;jehixubuwedigihagyji4em2hikerasir2;DDF8B95DA93B42DE93F5E7FB358DA16D;true
18;11;2;1;Eustachiusz;Rejmantowska;Nowy Karolew;ul. Kisielewskiego Stefana;13231802600;190;40-759;;865-529-947;Waldemar;47maw718058u7as61537k6p1b377c7k5;166E66843D0D7B3081C7BAA35D672F85;true
19;2;10;1;Siemisław;Szery;Mistrzewice;ul. Miodowa;82080307866;132;04-230;;625-592-252;Długosz;vuj1resevocituzozy9yfavyfyjuqewa2onoje;33335C99AEDAE824E4B87C1206CFC9F5;true
20;6;20;1;Feliks;Korosiak;Rzeszów;ul. Poprzeczna;10281015727;268;60-192;;476-926-919;Godfryd;g3mulege21;311D3699462DFEBC98F5366CB74602F4;true
21;8;21;2;Damazy;Boryski;Brzóza Królewska;ul. Herberta Zbigniewa;92082416565;13;68-343;;816-854-435;Ubysław;mywiluny59pyweg9mukiw;5DA888523071016EC924C0FCEB0581E4;true
22;7;26;2;Benicjusz;Melkner;Sępólno Krajeńskie;ul. Chałubińskiego Tytusa;73051103381;116;96-124;;834-096-458;Długosz;kiluty067it;0AA95DB6FCBC3315838BE91B30BCB90D;true
23;5;37;2;Jan Gwalbert;Ciesielkiewicz;Wierzchowiny;ul. Osiedlowa;86052606661;212;33-170;505-486-91-94;853-762-646;Eulogiusz;xicer7fukyq4k9simyvafalyvubytomyx;4112A7B292340A947631607D741AA734;true
24;5;36;2;Władymir;Hildobrandt;Olsztyn;ul. Polna;87122707932;297;07-410;543-545-65-66;717-198-352;Kandyd;jegizyty9oheruka7iqexidadujaryr8xydemitulif;5F068365E0F4921A49A9A2D395C7878A;true
25;10;24;2;Wodzisław;Perrony;Wałbrzych;ul. Nowofolwarczna;98110623033;6;26-120;;416-413-422;Adalbert;hifim872qykufemyf;420D05FF97B351916E1AAAEF5DD158E5;true
26;6;27;2;Ramon;Jaromoń;Bodzanów;ul. Żylewicza Józefa;99050213719;180;62-660;;904-939-640;Gerard;sadyteme20xucefaterab7qanerofemaxe;A82ABE9C2789E0E49D85B13F91865D5F;true
27;2;25;2;Achacy;Jachimeczko;Bielsko-Biała;ul. Staszica Stanisława;85020314922;263;27-415;;707-986-669;Pękosław;q9fehidysuzave5yjiviga0yjuxuxu;96B8D7861E9C5821483FAEACAF4E2AD5;true
28;9;31;2;Czcisław;Pinda;Bogdanów;ul. Leśna;92021001960;211;44-207;;690-621-235;Klement;f3tegyp56y;9578B9792611B8EEDFDF14FE970989F8;true
29;3;39;2;Boleczest;Pojewska;Joanin;ul. Pogodna;78012907596;168;50-156;886-925-41-31;478-929-063;Gaudencjusz;va6upakesukegybuduwihyharynadativun4tav3;B75C5D2BB6855E1CF2B8BFFDC9939EAC;true
30;4;32;2;Wespazjan;Wakowicz;Bronisławów;ul. Chodkiewicza Jana Karola;75021009541;194;87-335;;772-739-880;Goliat;tacovojobyh3tanatefydobiwy11w;C74D64A6BCC70B3EC0EA4016841AB7BE;true
31;2;33;2;Maciej;Brodawa;Wyrzyki;ul. Prusa Bolesława;82122319002;73;20-706;;509-048-937;Malwin;ror2myx6fafekuk2zamyp;8987F54E5FF1128B4166F8F9AAD64A20;true
32;7;35;2;Godzimierz;Hopnik;Ostrów Mazowiecka;ul. Częstochowska;89122221948;287;51-250;;456-157-378;Martynin;tewozepur5qol3ro5oqynizawylyg;D4798D33BCF541A0D6E48804AAD73D72;true
33;8;34;2;świętomir;Branc;Jawor;ul. Kępowa;88060317579;281;19-504;;450-621-661;Daniel;2aby9uq9wi;8B4B1EF8E75DB26BEF5202CDACE3178E;true
34;6;23;2;Sierosław;Badych;Piekary śląskie;ul. Rzeźniana;80012518687;275;02-226;;351-312-759;Herbert;jyqa06mi9axamiwyvydodyk;1CB88EA63626FBB07B94F0AE4B71E20D;true
35;3;38;2;Nadbor;Machan;Radostowo;ul. Miedza;83070715427;154;78-331;119-61-86-592;402-487-301;Lew;m5m8nijoqi1;59AC389B0DD93D6BD77462853E621DBD;true
36;6;28;2;Chociemir;Roszczyński;Rożubowice;ul. Laudańska;86071409014;273;41-608;;440-957-515;Gościsław;g8523u74x0565y946u7042k5b84i0i;5857E5EBDA1580C99081312395979350;true
37;6;29;2;Taras;Konserska;Rzeszów;Pl. Pokoju;71121109932;203;42-421;;886-588-866;Jarogniew;coxaga122esuqosocugokucobotuzufivororam;D935B23F28DD486FA4F2CB87AADEBDEA;true
38;11;22;2;Ewaryst;Kunadt;Olsztyn;ul. Volty Aleksandra;91062611886;97;26-803;;752-580-511;Marek;fon1si1api3;999B380C1FCFC70C64F7D4AD0A10115E;true
39;2;30;2;Axel;Palasik;Gaæ;ul. Pasażerska;76121209736;139;43-190;;693-686-330;Jacenty;8ykedytywepisaxazatesy0e7ody;FDD9ACB8CA000CF2EEF3BDBA5EBE7FD8;true
40;6;40;2;Ruprecht;Kasongo;Wara;ul. Padlewskiego Zygmunta (Generała Zygmunta Padlewskiego);89031815933;44;74-110;;865-483-777;Epifan;b4cimaz1domohizokaqar4;A122EEF6DFF7694CB21EDDBB2B970E58;true
41;8;41;3;Radomysł;Kanorska;Michałowo;ul. Fabryczna;92071218228;4;00-268;;211-750-141;Sewer;juw5z0zu9omojacanyle;D42B751118F4176D4FD0A52B2615E2BC;true
42;7;46;3;Emeryk;Ołata;Bierwiecka Wola;ul. Orzeszkowej Elizy;99050120910;161;07-106;;668-538-440;Domasław;c7gy7efoc8j;15DBB1DF1C56203C6F2771C11277BEDF;true
43;5;57;3;Biernat;Horbst;Czeladź;ul. Dębowa;71071409409;216;88-200;558-841-82-92;160-254-816;Wespazjan;mygydufizor3tol61imasatixyfifuvutyc;AB6A390DD0902FDDC0DC883CAA73F0EB;true
44;5;56;3;Aron;Kiember;Łódź;ul. Fredry Aleksandra;88091017716;24;08-304;746-569-32-14;513-041-002;Sebald;pygylado7eh2ribifilifocevamovuj5vavobazire;2DD8AB1F2E53C2511C27FE6C7428824B;true
45;10;44;3;Mamert;Bulak;Kobylnica;ul. Bławatkowa;87110722552;70;44-100;;220-393-707;Kalasanty;zabisopabujolijonicamefikixo5ylan4ked2b;63EF7C86514B5500BD57BBED98AD5CAA;true
46;6;47;3;Strzeżywoj;Chwołka;Rąpice;ul. Polska;93103003319;204;93-479;;348-679-661;Chociesław;bura6yw6qek7pet;E879976510399D6C81C756F9A1181485;true
47;2;45;3;Żyrosław;Kodran;Kraków;ul. Papiernicza;81040502574;14;26-920;;268-310-495;Jordan;qynafubododaty8egoquxysyjoxu7ulyxape9yzoze;8BAA44B43C32C941FE83B5B8FEBC7475;true
48;9;51;3;Charyzjusz;Bieluszewski;Łódź;ul. Na Skarpie;88030805460;253;07-401;;888-987-286;Dobiegniew;monyp6j9necodihagolof3;79C6357B3A9F0F452FD86F6072CE0210;true
49;3;59;3;Irwin;Stąborowski;Warszawa;ul. Łódzka;89111823171;56;86-320;601-52-91-834;935-115-642;Włościbor;vefakov64unud3pu;139619CCB50E74A951493FEB06C7D280;true
50;4;52;3;Irydion;Mesiarz;Poznań;ul. Biegusa;81072208266;224;41-902;;242-677-965;Władymir;pek80uraf2tedehymolalaryfyw;2880EF20188A7E24B5A09FD3D76E0187;true
51;2;53;3;Arystarch;Bolkesz;Bydgoszcz;ul. Chłodna;82020121415;295;41-902;;230-800-442;Rufin;9yz04aj41a81ny;C607B513821C78BBC05979E0A65B2593;true
52;7;55;3;Benicjusz;Piśkorz;Bogatynia;ul. Skargi Piotra (Księdza Piotra Skargi);88041908811;255;93-493;;811-356-494;Matron;wocalyqixuxy1eqehi8il2hakeqir;285B5869407573DAA18DAA82CB11A98B;true
53;8;54;3;Niezamysł;Zahorbeński;Wrocław;ul. Samulowskiego Andrzeja;83100701402;112;41-219;;228-614-250;Ruben;bu8ukivo3i5ixyl;DDE3951395A5235B586F21E1E7993067;true
54;6;43;3;Cieszymysł;Otyszecki;Mireń;ul. Garncarska;80051120306;18;62-220;;206-409-479;Florentyn;holabo9aqiw0nus3hifariwesavufa;D55972D17ED177334FC5D751D81986D6;true
55;3;58;3;Jan Gwalbert;Paradziej;Grabin;ul. Asnyka Adama;79112321020;277;56-210;859-31-49-985;122-054-977;Dionizy;sifosotixerawozacytutyxizyza8asijesa1ixa2ih;0A1994FDB593C0813B595C2C61CA8FBB;true
56;6;48;3;Oktawiusz;Drezel;Olkusz;ul. Malskiej Florentyny;75090412574;201;26-330;;270-714-911;Bolebor;zytopako4ibofuloj9mawyromu8yhiruxypobejezawahy;F35B8603A955A10F1B76876738301853;true
57;6;49;3;Abraham;Ajdocka;Tarnowskie Góry;ul. Sucharskiego Henryka (Majora Henryka Sucharskiego);72122614023;125;07-214;;432-869-951;Ignacy;xeciva8ijitarasepugifepuvecup8c5;30FC9CCBD989B43007B9B1F8AF492E05;true
58;11;42;3;Ronald;Tąpała;Tychy;ul. Piwna;91061105999;156;80-299;;318-653-228;Andrzej;ty2ozohabohon1hybyrinerofyb8tykyqic;7FEFF98C5066283E6281F26C3B97AB9C;true
59;2;50;3;Ziemisław;Rejmenowska;Pniewy;ul. Żółkiewskiego Stanisława;96080412677;1;87-810;;401-498-601;Hugo;wepizu9yp0cu0;D50F57121AD95E439091AAFB47A36DCB;true
60;6;60;3;Gabor;Makaro;Mchowo;ul. Piaskowa;84121112600;280;99-311;;459-914-462;Festus;dyxykokez3perysyfad20yw;C149A6F1DAB10E902E856C79AFF6B23A;true
61;8;61;4;Niemir;Potasiewicz;Bielsko-Biała;ul. Jaskółcza;77021210321;259;43-600;;908-259-929;Karol;socarol3viby8ikanysiviluwyzuqoxihugikasony0us;657BE786C900386237450771FB818A9D;true
62;7;66;4;Leonard;Zammerfeld;Niemiecka Wieś;ul. Obrońców Helu;92050922667;160;42-100;;522-916-743;Burchard;caxapifup5vazige7ihonitynotibubyruqyj9xury;D5E4DAA216EF01A47F584CB68535CB8F;true
63;5;77;4;Goliat;Potażek;Katowice;ul. Krzywa;71121503354;130;27-350;386-194-61-71;811-807-738;Ziemowit;keq1mi4ym7luhocyx;8A42A7B8C0D5701F900E8AAC6A651DCE;true
64;5;76;4;Filip;Żebrakowski;Ruda śląska;ul. Kościuszki Tadeusza;85011517231;112;86-010;881-851-24-51;569-698-802;Julian;mevamigeb3nukaretalodetototur8gagosuz9;6D530C185831285944682646C6D955E1;true
65;10;64;4;Chrystian;Malejonek;Gnatowo;ul. Mylna;80062617343;163;05-802;;310-156-663;Innocenty;hylezoca6urekarewezaq69ej;2E075BFAF68483FC0166824BC4549DEE;true
66;6;67;4;Odyseusz;Mirułowski;Rudziska;ul. Junaków;86032214242;236;36-245;;600-771-675;Eberhard;tijekus6b1ryle2isow;33980C5CC4AEBF4476DE86A049A80E5F;true
67;2;65;4;Bertrand;Łędzich;Rzeszów;ul. Orzeszkowej Elizy;71061416064;30;38-441;;447-498-740;Alf;toxuwakohubikucy1ofefepib1mipy9y;7A883FDA71F4B2968D478B7998B880D5;true
68;9;71;4;Wierzchosław;Badziński;Wierzyki;ul. Czołowa;82072513620;82;81-865;;942-043-449;Bogurad;vydalusybonimavefagevifuvidem4mexen1gyz9qona;BB116297EDB75C0ADFD5D26CBBDFE103;true
69;3;79;4;Kasper;Okrzaś;Głogów;ul. Zbąszyńska;71070415362;1;81-449;765-55-29-280;688-693-317;Cezary;3arypixu12;809BCF063412D43EE4625353CAD8B2E6;true
70;4;72;4;Symeon;Dziemierowicz;Opole;ul. Niecała;84110210513;98;95-011;;114-274-017;Auksencjusz;zid0hyp9fafovyq3bicydu;EB12C9114FAC1F2FA5CF9BC73E61B2D2;true
71;2;73;4;Oktawiusz;Wytt;Rzeszów;ul. Szklarniana;79062508645;165;39-400;;870-804-412;Kewin;losufyb9dalybeqahyvepokyz2purojimipezovovetebic0z;0E1CA402536DADCD2A8F743DCF8C9109;true
72;7;75;4;Marcin;Meszyński;Koszalin;ul. Bielskiego Marcina;87091423808;264;88-100;;745-665-757;Bonifacy;nujutuh2nyvolagimufa3itur9sy;6CFA390611C99ECDCBCDDE997D73A4D2;true
73;8;74;4;Witomir;Puzerowski;Wola Gruszowska;ul. Snycerska;79101308816;213;26-400;;955-782-022;Mamert;wafese2okev8wyq7;E2AD8E565F5095D5EC6A2FF4C6DD6573;true
74;6;63;4;Będzimir;Bałgan;Szczytniki;ul. Obrońców Helu;74082022678;164;38-300;;710-161-189;Pafnucy;demysoniwebunuzo17kecofijesuzozup9gocolus;D85EA4B394D80F807054A9FE88FFAE80;true
75;3;78;4;Cyrus;Zyglicki;Czaplinek;ul. Lipinka;77042225580;222;60-480;702-68-53-420;592-607-641;Ewelin;fitypeg5jeg6dygyq0bi;F8AE6FC6DF223434064460830E440E16;true
76;6;68;4;Unisław;Muchl;Wieliczka;ul. Tatarkiewicza Władysława;78011304073;166;64-700;;634-424-288;Bartłomiej;h1juvor8jivyja3arubo;7A8CE962167C4AC9831DC2D9ADBC08CF;true
77;6;69;4;Harasym;Żeniewicz;Gęby;ul. Goździków;79020803410;16;11-041;;318-655-210;Adam;pewaxavutuzejypywa7ute6e0ijahyhicatygi;DBF90C98D96533DBF526DE7E39474800;true
78;11;62;4;Prokop;Pienta;Stary Widok;Pl. Teatralny;93070921009;27;71-499;;406-781-103;Godzisz;hakudemej8syvybacaw7vyhyv3gavut;A1F69129FAB9399F64653C5712C03A12;true
79;2;70;4;Otniel;Żeweluk;Chochół;ul. Smosarskiej Jadwigi;72081104470;43;26-200;;879-310-412;Czesemir;pyvi175ewiten;A02EFD6FB7F56510A0BE4162799D7EBC;true
80;6;80;4;Paweł;Dymediuk;Rybnik;ul. Gen. Bora-Komorowskiego Tadeusza;78061410142;219;06-400;;351-622-094;Żytomir;vasuguc5puhyhoci9agivoco2enamedilyhadifatonabe;78F005A7F4574522E6EC8BD325D8CE2E;true
81;8;81;5;Bazyli;Libus;Warszawa;ul. Źródlana;95010523964;100;66-615;;193-979-814;Dzierżykraj;f9r6sebom8;820AA8B5568CB5BBACA27CA7D6219B51;true
82;7;86;5;Budzimir;Spiołek;świerże;ul. Jesienna;97043007169;231;05-320;;563-123-613;Galezy;foz3racowoderydanygelyqobucikomevi9eqot7jymos;78D1F626D3F47E100DE10A763D2138AE;true
83;5;97;5;Natan;Wells;Opole;ul. Plebiscytowa;83022613353;23;00-654;421-277-67-30;947-464-204;Zdobysław;mi8ujozenoxehifiqyviciqadisi2agemebyjyzulin1;DB31ADDC156A73A9D12D5A8548EDE7C1;true
84;5;96;5;Mieczysław;Szawiała;Jasło;ul. Reymonta Władysława;82052324239;296;06-121;231-617-48-31;237-260-339;Prochor;zipujuj6fofycame48xyfofynebitefahamuhego;DAE2043013B0945D9EC2162FCA342261;true
85;10;84;5;Strzeżywoj;Maszner;Grodzisk Mazowiecki;ul. Bonifraterska;94080808964;79;39-230;;613-588-935;Zygfryd;617u44si913u75t70333622o3ah35uveg576967686m070;ECA1D8A3DD63B648270088E660FCD065;true
86;6;87;5;Siemirad;Gieroni;Bielsko-Biała;ul. Pielęgniarek;88111102093;288;01-678;;348-477-643;Tymoteusz;g0siwotekamubenixuno5ic1docag;AB36BF74278BC6C5F09E7A4A1117AD94;true
87;2;85;5;Niemir;Sierzań;Warszawa;ul. Rudnickiego Mikołaja;75032221215;103;78-100;;997-613-689;Bertram;5ibyc3l2rivu;BC4AAA7CB67382018E432374CE9D098B;true
88;9;91;5;Czechasz;Petkow;Wilkowa Wieś;ul. Jastrzębowskiego Wojciecha Bogumiła;85040310449;224;13-324;;257-943-269;Jan Kanty;5exukocaxerupiza30zoxahodulyxytoro;AC66C9CBE5922A99D52F5A06960A8DEE;true
89;3;99;5;Machabeusz;Placuk;Zielona Góra;ul. Żytnia;85071816633;201;85-677;964-14-21-361;999-258-815;Hermes;0oxij5qu7i;BFCF1CD22B19E56C7CB4B786F520C86C;true
90;4;92;5;Wisław;Marenicz;Ostrołęka;ul. Wesoła;73051812115;40;37-630;;148-586-716;Adolf;37263040g08581496141785045vu72823542101;52F6067D881F719A28431E3128E6F1AF;true
91;2;93;5;Natan;Tobołowska;Lublin;Pl. 1905 Roku;81100902984;175;20-400;;877-706-282;Cyprian;gece9u8ewi7epaqafo;D105A6E7DD249E3747A11CED33EA0BBA;true
92;7;95;5;świeciech;Wałkuski;Krypno Wielkie;ul. Staszica Stanisława;81031500280;130;25-653;499-65-32-413;817-386-742;Jacław;qij4roxuq2tewolopowakeqesuvyt3hohyjugir;A2A2156AD5D037EC32BF131FC20C4E71;true
93;8;94;5;Berno;Niemow;Górne Maliki;ul. świętego Sebastiana;74041722896;134;78-100;;810-214-843;Narcyz;wuxalobedywipydiqurajeqaz8vylidob4noryqac8nibo;4C7D3829DD4C6E666DB56DEDA2959C61;true
94;6;83;5;Amon;Dawidow;Wrocław;ul. Zamkowa;79012916229;133;10-687;;541-546-514;Emil;jax33ovobuxuxyrukemawo4ylamitewyh;48335352BDCD2E818B0E194226455C73;true
95;3;98;5;Waleriusz;Hohlfeld;Wrocław;ul. Szafrana Tadeusza;79011003023;276;80-175;438-31-32-264;390-296-604;Prudencjusz;puhapefa4anisebakejaxo3ivaq6foz;10E4EF2A9C0D8ADBDBC017077F859187;true
96;6;88;5;Uniedrog;Predynkiewicz;Giedajty;ul. Madera;94122809830;29;57-150;;425-077-658;Częstogniew;4on6towymi5abafu;DB5D7281D9F2D80A438F17C893F41CD1;true
97;6;89;5;Czechasz;Schurma;Katowice;ul. Wileńska;88071206110;272;09-110;;892-744-259;Egon;65330735598366375699p;24AD8F30820FFC6338F707B1D98A9F5B;true
98;11;82;5;Uniemysł;Szamowski;Chojęcin;ul. Rychla Jana;79050309629;165;19-104;;582-780-266;Amedeusz;tizujerohuginylyj8me04vogyj;D6C176CA6BC8DF6CF2886B5E20008A55;true
99;2;90;5;Paweł;Zuzak;Biały Grunt;ul. Długa;96071206610;221;14-200;;562-599-740;Marcjal;fa08huroqizuvybi6ojo;886CA4AA9E2A4298B63FAF61A85B86EA;true
100;6;100;5;Agatonik;Grabus;Gdańsk;ul. Brzoskwiniowa;95122123685;252;80-003;;690-757-864;Salwator;repoxedy8adetar2w0zevy;D4F9D4C56982EB7D2107125A68152A16;true
101;8;101;6;Demetriusz;Rakaszewska;Koszarsko;ul. Moniuszki Stanisława;78081013682;33;08-110;;109-501-577;Cecylian;limomyzen2copojekek8fonaf5no;B41A7099EE4CEB1BA8352BB517527CD8;true
102;7;106;6;Tomasz;Perelson;Warszawa;ul. Leszków;86101514282;30;98-240;;639-062-387;Tyburcjusz;ramikyhyke2ugano6eqihur6nefyt;4F12D26928C5A7CDF706DF02CB54E7C0;true
103;5;117;6;Renat;Medau;Skupowo;ul. Szczepowa;83033114151;230;43-430;921-154-83-20;451-115-321;Wielisław;majobuhyluda3oxodysohijon63enohe;731B8DE96F0DEF6D7744D043A31D92C2;true
104;5;116;6;Beatus;Sopoński;Rawka;ul. Częstochowska;82090801712;177;62-010;743-41-56-995;213-121-024;Tristan;fyg4zikosigorupyzuwuzulifo14qepybuqadotodasoryg;4A8C6A19AD17487A7C19C9DCE951DB99;true
105;10;104;6;Tezeusz;Wojkszun;Ignacewo;ul. Jaśminowa;87051005734;249;07-410;;718-905-239;Borzysław;sikidumi3uxibit4laguvoqokaj1dew;EA69AE988B3A6844BC456447A5321D40;true
106;6;107;6;światozar;Konakow;Jelenia Góra;ul. Ternicka;79021118494;156;37-400;;591-986-331;Julian;fa4anirutex5ce1;37AD0307E0E4F51F5765D32E0B11093E;true
107;2;105;6;Beniamin;Bartsik;Opole;ul. Kasztelańska;93021811119;229;25-633;;703-012-369;Arnold;3168900866144305224200531620738593;B14160CB6CD5C9AC5307560D2BA8FEB0;true
108;9;111;6;Enoch;Werbowa;Rybnik;ul. Wałowa;81062104851;289;60-348;;719-219-181;Uniedrog;s8pajuqujiz8vapy9yfytin;E6165E67E410A2CC40FCDEEA2DFD1546;true
109;3;119;6;Bruno;świrgiel;Poznań;ul. Pielęgniarek;92042504723;51;09-402;324-181-85-31;301-604-350;Edmund;wujynejugamyfojucasehu2e1orex1no;E5E8671B241C910760C18E6E795654BB;true
110;4;112;6;Gotard;Daude;Gołas;ul. Głowackiego Wojciecha Bartosza;84022624552;20;23-320;;342-055-556;Anicet;vevomig5dyvejyka9ajavulyxiz7vekade;7C94B56544629552C92FD69ED429BD94;true
111;2;113;6;Saul;Bajków;Bielsko-Biała;ul. Prądzyńskiego Ignacego;85020706325;130;91-849;;524-938-451;Czcisław;z7jezinok5gize6i;4F9B0F737475737DA91CE4F7DB398562;true
112;7;115;6;Gall;Harabuz;Skoroszów;ul. Wólczańska;93101024400;105;61-748;;799-731-984;Dzierżykraj;gybumipaqapyfuj9vebowiwyfu8er9lo;219B0852F34204F8AFA2A002095EA95F;true
113;8;114;6;Wolimir;Buczewski;Legnica;ul. Rybacka;90042803293;21;16-304;;279-479-176;Stanimir;9yw0zir8vegucigu;8AED1B7FCC6489F3E67D170F0DB58875;true
114;6;103;6;Agatonik;Rurdsztuk;Szczucice;ul. Zeusa;90021321468;88;36-121;;292-340-236;Lubosław;zupeqyfos5fupavoduviv5saraxeky4ehoqydaf;F09421FB85B9CCBDBD343EC0ABFF1FFA;true
115;3;118;6;Hipolit;Nevermann;Leszczowate;ul. Wojska Polskiego;94112819962;136;42-530;388-17-73-797;351-116-276;Przybygniew;h657piji782e1;C61C3834FA3C066FBE39919A24AC32B1;true
116;6;108;6;Mauryn;Kapust;Tchórz;ul. Kablowa;83081910716;131;05-306;;150-688-674;Antoni;8ekat0juxediqytih5;249D6910521C9CA6F3EAA428FAF97D10;true
117;6;109;6;Dobromił;Orużak;Kraków;ul. Brzezińska;94101303401;59;16-424;;618-139-562;Ezechiel;0164p30o15b2h23i465y23d9r4n415;E8CF19D35D58B5491D45471EDA1D49ED;true
118;11;102;6;Dersław;Inszo;Sianowo Leśne;ul. Tartaczna;86060624187;108;29-105;;350-396-890;Salezy;kela9ijyzuzy5o7ifob;745D8003A61D21D161351B56398115B8;true
119;2;110;6;Herakles;Towalewski;Warszawa;ul. Działkowa;77021225367;210;31-958;;456-602-498;Leopold;boligagaluzoqisex5pojytol9goh2qiwimyk;87D0C57A32D34242383115049C64CE62;true
120;6;120;6;Lubomir;Olewnik;Gdynia;ul. Nadrzeczna;75080215053;229;62-541;;255-791-075;Przedbor;ly1ilu55vumi;B60751F0CB2AF2DFBAFA0B30091843BD;true
